id,dwelown,polviews,SCIENTOD,hotcore,SCIENTBR,SYNMEM,divorce,MAOCC10,satfam7,whoelse1,engnrsci,CONVICTD,MEDTREAT,libcom,VISZOO,weekswrk,attend,satjob7,nathealy,phone,wordf,libhomo,jobsecok,peoptrbl,age,helpnot,SCIENTDN,natfarey,spkath,hivtest,PAIDLV,reliten,SCIENTGO,ENGLONE,posslq,region,histsci,kidsuffr,ELDCOST,ELDERSUP,accptoth,EVNEGJOB,coldeg1,obey,spkcom,natsci,natrace,intethn,natcity,wksubs,relate1,VISART,RUMORWK,SPOCC10,sprel,zodiac,cooking1,wlthblks,family16,madeg,intlblks,evstray,relhhd7,VOTE08,SCIENTAL,kidjoy,racopen,CSHUTYP08,poleff13,POLEFY15,intrace2,spanint,SPLIVE,POLEFY16,WEBMOB,finalter,natdrug,selffrst,nateducy,spevwork,astrosci,spother,homosex,libath,racecen1,emailmin,ENGRESP,wrkwayup,seeksci,ENGDO,spanself,gender2,rincome,fechld,MAIND10,VISLIB,relhh1,whoelse2,volchrty
932,1,5,NaN,NaN,NaN,NaN,1,5120,1,2,NaN,2,NaN,2,NaN,51,2,1,NaN,3,1,2,1,2,49,NaN,NaN,NaN,1,2,2,2,NaN,NaN,1,8,NaN,5,1,1,2,NaN,NaN,NaN,1,1,1,2,1,NaN,1,NaN,4,1900,2,5,1,5,1,1,5,2,NaN,1,NaN,1,2,1,2,NaN,NaN,NaN,18,NaN,NaN,3,1,3,NaN,NaN,NaN,NaN,4,2,1,0,NaN,2,NaN,NaN,NaN,1,11,1,4280,NaN,1,2,4
933,2,4,NaN,1,NaN,NaN,2,NaN,1,2,2,NaN,NaN,NaN,0,50,2,1,1,6,1,NaN,1,NaN,42,3,NaN,1,NaN,NaN,1,3,NaN,3,NaN,8,2,3,1,1,NaN,NaN,NaN,2,NaN,3,NaN,2,NaN,4,1,0,4,NaN,2,10,4,4,1,NaN,4,NaN,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,6,NaN,2,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,16,NaN,1,1,3,3,NaN,2,12,2,NaN,0,1,2,NaN
934,NaN,6,2,1,3,NaN,NaN,4760,NaN,2,1,2,NaN,2,0,48,2,NaN,NaN,6,NaN,2,2,1,48,3,2,NaN,1,2,NaN,1,2,NaN,2,8,3,NaN,NaN,NaN,1,NaN,NaN,4,1,3,1,2,1,3,1,0,3,NaN,NaN,5,NaN,NaN,1,1,NaN,2,NaN,2,3,NaN,2,1,4,NaN,NaN,NaN,NaN,NaN,NaN,3,1,4,NaN,NaN,2,NaN,1,2,1,NaN,NaN,NaN,3,NaN,NaN,2,12,NaN,5380,0,1,2,5
935,2,2,NaN,NaN,NaN,NaN,2,3600,3,2,NaN,2,NaN,2,NaN,24,3,7,1,6,1,2,2,3,39,NaN,NaN,1,1,1,NaN,3,NaN,NaN,NaN,8,NaN,4,2,1,4,NaN,NaN,NaN,2,NaN,NaN,5,NaN,3,1,NaN,2,NaN,2,4,4,6,3,NaN,6,2,NaN,2,NaN,1,2,1,NaN,2,NaN,NaN,16,3,NaN,2,NaN,2,1,2,NaN,NaN,1,2,NaN,30,NaN,1,NaN,NaN,NaN,2,12,2,8190,NaN,1,2,5
936,2,5,1,NaN,3,NaN,NaN,8965,3,2,NaN,2,1,NaN,0,28,7,1,1,6,NaN,NaN,2,NaN,59,3,2,1,NaN,NaN,1,1,1,NaN,NaN,8,NaN,3,2,2,NaN,NaN,NaN,4,NaN,2,NaN,2,NaN,4,1,0,4,NaN,NaN,8,NaN,5,1,NaN,4,NaN,NaN,1,3,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,1,NaN,3,NaN,NaN,NaN,2,NaN,NaN,2,5,NaN,NaN,NaN,NaN,3,180,2,1,2,NaN
937,1,4,NaN,NaN,NaN,NaN,NaN,2910,4,2,NaN,2,NaN,2,NaN,0,1,NaN,NaN,3,1,2,NaN,2,63,NaN,NaN,NaN,1,2,2,2,NaN,NaN,4,8,NaN,3,1,2,3,NaN,NaN,NaN,1,1,3,1,3,NaN,1,NaN,NaN,NaN,NaN,1,NaN,4,1,2,4,2,NaN,1,NaN,2,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,2,1,3,NaN,NaN,NaN,NaN,4,2,1,0,NaN,2,NaN,NaN,NaN,NaN,NaN,2,7490,NaN,1,2,3
938,1,3,NaN,NaN,NaN,NaN,NaN,4110,4,2,NaN,1,NaN,2,NaN,52,NaN,5,2,3,1,2,1,3,61,NaN,NaN,2,1,2,1,4,NaN,NaN,NaN,8,NaN,2,1,2,3,NaN,NaN,NaN,1,1,NaN,1,NaN,3,1,NaN,4,NaN,NaN,2,NaN,4,1,1,5,3,NaN,2,NaN,2,2,1,NaN,3,NaN,NaN,NaN,3,NaN,2,NaN,2,1,NaN,NaN,NaN,4,2,1,0,NaN,2,NaN,NaN,NaN,NaN,12,3,8680,NaN,1,2,6
939,1,4,NaN,NaN,NaN,NaN,2,NaN,2,2,NaN,2,NaN,2,NaN,0,NaN,NaN,NaN,3,1,2,NaN,2,48,NaN,NaN,NaN,1,2,1,4,NaN,NaN,1,8,NaN,4,1,2,1,NaN,NaN,NaN,1,1,NaN,1,2,4,1,NaN,NaN,6355,4,4,1,6,1,1,4,2,NaN,1,NaN,2,2,1,4,NaN,NaN,NaN,26,NaN,NaN,2,2,3,NaN,NaN,NaN,NaN,4,2,1,NaN,NaN,3,NaN,NaN,NaN,2,NaN,2,NaN,NaN,1,2,4
940,2,3,NaN,NaN,NaN,NaN,NaN,700,1,2,NaN,2,NaN,NaN,NaN,41,NaN,3,NaN,3,0,NaN,2,NaN,39,3,NaN,NaN,NaN,1,1,4,NaN,NaN,2,8,NaN,5,NaN,2,NaN,NaN,NaN,4,NaN,2,3,5,1,3,1,NaN,4,NaN,NaN,10,1,6,5,1,4,2,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,1,NaN,NaN,NaN,1,10,1,9590,NaN,1,2,NaN
941,NaN,4,NaN,1,NaN,NaN,NaN,2145,NaN,2,1,2,NaN,2,3,52,1,NaN,1,6,NaN,2,3,3,32,4,NaN,2,1,2,NaN,4,NaN,3,NaN,8,2,NaN,NaN,NaN,3,NaN,2,5,1,1,NaN,2,NaN,3,1,3,3,NaN,NaN,2,NaN,NaN,1,2,NaN,3,NaN,1,NaN,NaN,2,1,NaN,3,NaN,NaN,NaN,3,NaN,3,NaN,2,2,NaN,3,NaN,4,2,1,NaN,1,NaN,3,2,NaN,1,12,NaN,7270,0,1,2,3
942,NaN,5,NaN,2,NaN,NaN,1,3940,NaN,2,NaN,2,1,2,1,20,3,NaN,NaN,3,NaN,2,2,1,32,4,NaN,NaN,1,1,NaN,3,NaN,3,1,8,NaN,NaN,NaN,NaN,1,NaN,NaN,4,1,3,2,2,3,3,1,2,4,3740,4,12,NaN,NaN,1,NaN,NaN,2,NaN,1,NaN,NaN,2,1,3,NaN,NaN,NaN,NaN,NaN,NaN,3,2,2,NaN,NaN,3,NaN,4,2,1,NaN,2,NaN,5,4,NaN,2,10,NaN,770,3,1,2,4
