"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
360016,"paid",1,0,0,"en","Food","Butcher Shop",1575,1575,0,1575,0,"MNT",4343.701435,4381.596551,4732.720984,10000,"FALSE","TRUE","MN",2,0,116,"active",4,5,"Full",3296.277859,0.096938366,0.152454689,7185200,5400,"EE","other",329,"FALSE",1,3349.668808,0
536586,"in_repayment",1,1,0,"en","Agriculture","Farming",450,450,0,86.54,0,"WST",4819.965301,4820.037975,NaN,4849.965301,"FALSE","TRUE","WS",0,0,15,"active",13,2.5,"Full",2404.057199,0,0,3838125,6268,NaN,NaN,NaN,"FALSE",NaN,NaN,0
400841,"paid",3,1,0,"en","Food","Fish Selling",775,775,0,775,0,"VND",4452.729398,4456.047269,4822.536528,4482.729398,"FALSE","TRUE","VN",0,0,121,"active",29,3,"Full",3240.104514,0,0,1331450,1034,"US","other",6,"FALSE",0,4452.95044,0
346229,"paid",1,1,0,"en","Food","Cafe",200,200,0,200,0,"KES",4310.041713,4310.628356,4641.408623,10000,"FALSE","TRUE","KE",2,0,142,"active",8,3.5,"Full",3487.187558,3.588005956,0.790076976,2884725,5925,"US","manage",183,"FALSE",3,3357.199225,0
126698,"paid",1,1,0,"pt","Housing","Personal Housing Expenses",775,775,0,732.53,42.47,"MZN",3517.861192,3517.987373,3934.324803,10000,"FALSE","TRUE","MZ",0,0,23,"active",20,2.5,"Full",2513.775648,0,0.009167225,1344475,2309,"DK","other",219,"FALSE",0,3223.734907,1
115317,"paid",1,1,0,"en","Agriculture","Cattle",350,350,0,350,0,"VND",3452.166736,3457.089456,3941.400729,10000,"FALSE","TRUE","VN",0,0,67,"paused",13,4,"Full",2732.133843,0,0,1591425,2206,"US","other",50,"FALSE",0,3359.682523,2
539466,"in_repayment",1,1,0,"en","Clothing","Used Clothing",275,275,0,68.83,0,"UGX",4826.687627,4826.762477,NaN,4856.687627,"FALSE","TRUE","UG",0,0,112,"pilot",11,2,"Full",3001.541748,0.313588326,0,1399350,3571,"US","professor",10,"FALSE",0,3515.032778,1
506038,"in_repayment",1,1,0,"en","Transportation","Motorcycle Transport",150,150,0,131.25,0,"PHP",4749.343553,4749.579028,NaN,4779.343553,"FALSE","TRUE","PH",1,0,123,"active",6,4,"Full",3248.083449,1.689603515,0.11687322,6078025,14387,"GB","writer",2219,"FALSE",1,3551.51287,74
560201,"in_repayment",1,1,0,"en","Manufacturing","Manufacturing",225,225,0,0,0,"PKR",4887.666701,4887.723461,NaN,4917.666701,"FALSE","TRUE","PK",0,0,245,"pilot",7,3.5,"Full",4573.729225,0,0,301700,1091,"CH","other",194,"FALSE",0,3484.499329,1
22491,"paid",1,1,0,"en","Food","Food Market",475,475,0,475,0,"NGN",2857.048669,2857.453218,3114.376262,10000,"FALSE","TRUE","NG",2,0,20,"closed",10,0,"Full",2498.318692,0,0,4976700,8593,"US","other",7,"FALSE",0,2857.188669,0
470734,"in_repayment",1,1,0,"en","Agriculture","Dairy",500,500,0,254.72,0,"KES",4639.625023,4639.808067,NaN,4669.625023,"FALSE","TRUE","KE",1,0,156,"active",17,3.5,"Full",3667.847419,3.141491251,2.655624242,2039575,3803,"US","other",38,"FALSE",1,2514.257257,0
477475,"in_repayment",1,1,0,"es","Food","Food Stall",475,475,0,34.02,0,"COP",4653.680579,4658.730868,NaN,4683.680579,"TRUE","TRUE","CO",0,0,154,"active",18,3,"Full",3640.340451,3.966905306,0.054293908,2330325,3118,NaN,NaN,NaN,"FALSE",NaN,NaN,0
443544,"paid",1,1,0,"en","Agriculture","Farming",475,475,0,475,0,"PHP",4562.618519,4563.083854,4732.661424,4592.618519,"FALSE","TRUE","PH",1,0,145,"active",18,4.5,"Full",3478.975208,0.294975396,0.085539755,5952375,13937,"US","retire",69,"FALSE",1,2500.206076,0
546625,"in_repayment",1,0,0,"es","Food","Food Stall",575,575,0,0,0,"HNL",4849.08338,4860.88544,NaN,4879.08338,"FALSE","TRUE","HN",0,0,201,"active",23,4,"Full",4299.048669,0.723020092,0,883200,1315,"GB","other",160,"FALSE",3,3236.755938,1
226518,"paid",1,1,0,"en","Retail","General Store",225,225,0,225,0,"PHP",3891.541713,3891.564873,4002.460116,10000,"FALSE","TRUE","PH",2,0,144,"active",4,3,"Full",3463.196238,1.158572983,0.08329179,2079725,4413,NaN,"other",78554,"FALSE",3,2712.593021,21
355258,"paid",1,1,0,"en","Food","Food",125,125,0,125,0,"PHP",4335.361319,4335.527083,4518.413866,10000,"FALSE","TRUE","PH",0,0,136,"active",1,3,"Full",3427.597315,0,0,2553300,8909,"IT","other",2834,"FALSE",2,3415.327569,1
498916,"paid",1,1,0,"es","Construction","Carpentry",300,300,0,300,0,"USD",4718.347326,4718.853785,4855.420787,4748.347326,"FALSE","TRUE","PE",0,0,119,"active",7,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,"KH","other",233,"FALSE",0,4368.784861,0
